COD_DIST,NOM_DIST,COD_CANT,COD_PROV,CODIGO
2,SAN JERONIMO,14,1,1142
3,LA TRINIDAD,14,1,1143
1,SAN PEDRO,15,1,1151
2,SABANILLA,15,1,1152
3,MERCEDES,15,1,1153
4,SAN RAFAEL,15,1,1154
1,SAN PABLO,16,1,1161
2,SAN PEDRO,16,1,1162
3,SAN JUAN DE MATA,16,1,1163
4,SAN LUIS,16,1,1164
5,CARARA,16,1,1165
1,SANTA MARIA,17,1,1171
2,JARDIN,17,1,1172
3,COPEY,17,1,1173
1,CURRIDABAT,18,1,1181
2,GRANADILLA,18,1,1182
3,SANCHEZ,18,1,1183
4,TIRRASES,18,1,1184
1,SAN ISIDRO DEL GENERAL,19,1,1191
2,EL GENERAL,19,1,1192
3,DANIEL FLORES,19,1,1193
4,RIVAS,19,1,1194
5,SAN PEDRO,19,1,1195
6,PLATANARES,19,1,1196
7,PEJIBAYE,19,1,1197
8,CAJON,19,1,1198
9,BARU,19,1,1199
10,RIO NUEVO,19,1,11910
11,PARAMO,19,1,11911
12,AMISTAD,19,1,11912
1,SAN PABLO,20,1,1201
2,SAN ANDRES,20,1,1202
3,LLANO BONITO,20,1,1203
4,SAN ISIDRO,20,1,1204
5,SANTA CRUZ,20,1,1205
6,SAN ANTONIO,20,1,1206
1,ALAJUELA,1,2,2011
2,SAN JOSE,1,2,2012
3,CARRIZAL,1,2,2013
4,SAN ANTONIO,1,2,2014
5,GUACIMA,1,2,2015
6,SAN ISIDRO,1,2,2016
7,SABANILLA,1,2,2017
8,SAN RAFAEL,1,2,2018
9,RIO SEGUNDO,1,2,2019
10,DESAMPARADOS,1,2,20110
11,TURRUCARES,1,2,20111
12,TAMBOR,1,2,20112
13,GARITA,1,2,20113
14,SARAPIQUI,1,2,20114
1,SAN RAMON,2,2,2021
2,SANTIAGO,2,2,2022
3,SAN JUAN,2,2,2023
4,PIEDADES NORTE,2,2,2024
5,PIEDADES SUR,2,2,2025
6,SAN RAFAEL,2,2,2026
7,SAN ISIDRO,2,2,2027
8,ANGELES,2,2,2028
9,ALFARO,2,2,2029
10,VOLIO,2,2,20210
11,CONCEPCION,2,2,20211
12,ZAPOTAL,2,2,20212
13,PEÑAS BLANCAS,2,2,20213
14,SAN LORENZO,2,2,20214
1,GRECIA,3,2,2031
2,SAN ISIDRO,3,2,2032
3,SAN JOSE,3,2,2033
4,SAN ROQUE,3,2,2034
5,TACARES,3,2,2035
1,RIO CUARTO,16,2,2161
7,PUENTE DE PIEDRA,3,2,2037
8,BOLIVAR,3,2,2038
1,SAN MATEO,4,2,2041
2,DESMONTE,4,2,2042
3,JESUS MARIA,4,2,2043
4,LABRADOR,4,2,2044
1,ATENAS,5,2,2051
2,JESUS,5,2,2052
3,MERCEDES,5,2,2053
4,SAN ISIDRO,5,2,2054
5,CONCEPCION,5,2,2055
6,SAN JOSE,5,2,2056
7,SANTA EULALIA,5,2,2057
8,ESCOBAL,5,2,2058
1,NARANJO,6,2,2061
2,SAN MIGUEL,6,2,2062
3,SAN JOSE,6,2,2063
4,CIRRI SUR,6,2,2064
5,SAN JERONIMO,6,2,2065
6,SAN JUAN,6,2,2066
7,EL ROSARIO,6,2,2067
8,PALMITOS,6,2,2068
1,PALMARES,7,2,2071
2,ZARAGOZA,7,2,2072
3,BUENOS AIRES,7,2,2073
4,SANTIAGO,7,2,2074
5,CANDELARIA,7,2,2075
6,ESQUIPULAS,7,2,2076
7,LA GRANJA,7,2,2077
1,SAN PEDRO,8,2,2081
2,SAN JUAN,8,2,2082
3,SAN RAFAEL,8,2,2083
4,CARRILLOS,8,2,2084
5,SABANA REDONDA,8,2,2085
1,OROTINA,9,2,2091
2,EL MASTATE,9,2,2092
3,HACIENDA VIEJA,9,2,2093
4,COYOLAR,9,2,2094
5,LA CEIBA,9,2,2095
1,QUESADA,10,2,2101
2,FLORENCIA,10,2,2102
3,BUENAVISTA,10,2,2103
4,AGUAS ZARCAS,10,2,2104
5,VENECIA,10,2,2105
6,PITAL,10,2,2106
7,LA FORTUNA,10,2,2107
8,LA TIGRA,10,2,2108
9,LA PALMERA,10,2,2109
10,VENADO,10,2,21010
11,CUTRIS,10,2,21011
12,MONTERREY,10,2,21012
13,POCOSOL,10,2,21013
1,ZARCERO,11,2,2111
2,LAGUNA,11,2,2112
3,TAPESCO,11,2,2113
4,GUADALUPE,11,2,2114
5,PALMIRA,11,2,2115
6,ZAPOTE,11,2,2116
7,BRISAS,11,2,2117
1,SARCHI NORTE,12,2,2121
2,SARCHI SUR,12,2,2122
3,TORO AMARILLO,12,2,2123
4,SAN PEDRO,12,2,2124
5,RODRIGUEZ,12,2,2125
1,UPALA,13,2,2131
2,AGUAS CLARAS,13,2,2132
3,SAN JOSE O PIZOTE,13,2,2133
4,BIJAGUA,13,2,2134
5,DELICIAS,13,2,2135
6,DOS RIOS,13,2,2136
7,YOLILLAL,13,2,2137
8,CANALETE,13,2,2138
1,LOS CHILES,14,2,2141
2,CAÑO NEGRO,14,2,2142
3,EL AMPARO,14,2,2143
4,SAN JORGE,14,2,2144
1,SAN RAFAEL,15,2,2151
2,BUENAVISTA,15,2,2152
3,COTE,15,2,2153
4,KATIRA,15,2,2154
1,ORIENTAL,1,3,3011
2,OCCIDENTAL,1,3,3012
3,CARMEN,1,3,3013
4,SAN NICOLAS,1,3,3014
5,AGUACALIENTE O SAN FRANCISCO,1,3,3015
6,GUADALUPE O ARENILLA,1,3,3016
7,CORRALILLO,1,3,3017
8,TIERRA BLANCA,1,3,3018
9,DULCE NOMBRE,1,3,3019
10,LLANO GRANDE,1,3,30110
11,QUEBRADILLAS,1,3,30111
1,PARAISO,2,3,3021
2,SANTIAGO,2,3,3022
3,OROSI,2,3,3023
4,CACHI,2,3,3024
5,LLANOS DE SANTA LUCIA,2,3,3025
1,TRES RIOS,3,3,3031
2,SAN DIEGO,3,3,3032
3,SAN JUAN,3,3,3033
4,SAN RAFAEL,3,3,3034
5,CONCEPCION,3,3,3035
6,DULCE NOMBRE,3,3,3036
7,SAN RAMON,3,3,3037
8,RIO AZUL,3,3,3038
1,JUAN VIÑAS,4,3,3041
2,TUCURRIQUE,4,3,3042
3,PEJIBAYE,4,3,3043
1,TURRIALBA,5,3,3051
2,LA SUIZA,5,3,3052
3,PERALTA,5,3,3053
4,SANTA CRUZ,5,3,3054
5,SANTA TERESITA,5,3,3055
6,PAVONES,5,3,3056
7,TUIS,5,3,3057
8,TAYUTIC,5,3,3058
9,SANTA ROSA,5,3,3059
10,TRES EQUIS,5,3,30510
11,LA ISABEL,5,3,30511
12,CHIRRIPO,5,3,30512
1,PACAYAS,6,3,3061
2,CERVANTES,6,3,3062
3,CAPELLADES,6,3,3063
1,SAN RAFAEL,7,3,3071
2,COT,7,3,3072
3,POTRERO CERRADO,7,3,3073
4,CIPRESES,7,3,3074
5,SANTA ROSA,7,3,3075
1,EL TEJAR,8,3,3081
2,SAN ISIDRO,8,3,3082
3,TOBOSI,8,3,3083
4,PATIO DE AGUA,8,3,3084
1,HEREDIA,1,4,4011
2,MERCEDES,1,4,4012
3,SAN FRANCISCO,1,4,4013
4,ULLOA,1,4,4014
5,VARABLANCA,1,4,4015
1,BARVA,2,4,4021
2,SAN PEDRO,2,4,4022
3,SAN PABLO,2,4,4023
4,SAN ROQUE,2,4,4024
5,SANTA LUCIA,2,4,4025
6,SAN JOSE DE LA MONTAÑA,2,4,4026
1,SANTO DOMINGO,3,4,4031
2,SAN VICENTE,3,4,4032
3,SAN MIGUEL,3,4,4033
4,PARACITO,3,4,4034
5,SANTO TOMAS,3,4,4035
6,SANTA ROSA,3,4,4036
7,TURES,3,4,4037
8,PARA,3,4,4038
1,SANTA BARBARA,4,4,4041
2,SAN PEDRO,4,4,4042
3,SAN JUAN,4,4,4043
4,JESUS,4,4,4044
5,SANTO DOMINGO,4,4,4045
6,PURABA,4,4,4046
1,SAN RAFAEL,5,4,4051
2,SAN JOSECITO,5,4,4052
3,SANTIAGO,5,4,4053
4,ANGELES,5,4,4054
5,CONCEPCION,5,4,4055
1,SAN ISIDRO,6,4,4061
2,SAN JOSE,6,4,4062
3,CONCEPCION,6,4,4063
4,SAN FRANCISCO,6,4,4064
1,SAN ANTONIO,7,4,4071
2,LA RIBERA,7,4,4072
3,LA ASUNCION,7,4,4073
1,SAN JOAQUIN,8,4,4081
2,BARRANTES,8,4,4082
3,LLORENTE,8,4,4083
1,SAN PABLO,9,4,4091
2,RINCON DE SABANILLA,9,4,4092
1,PUERTO VIEJO,10,4,4101
2,LA VIRGEN,10,4,4102
3,LAS HORQUETAS,10,4,4103
4,LLANURAS DEL GASPAR,10,4,4104
5,CUREÑA,10,4,4105
1,LIBERIA,1,5,5011
2,CAÑAS DULCES,1,5,5012
3,MAYORGA,1,5,5013
4,NACASCOLO,1,5,5014
5,CURUBANDE,1,5,5015
1,NICOYA,2,5,5021
2,MANSION,2,5,5022
3,SAN ANTONIO,2,5,5023
4,QUEBRADA HONDA,2,5,5024
5,SAMARA,2,5,5025
6,NOSARA,2,5,5026
7,BELEN DE NOSARITA,2,5,5027
1,SANTA CRUZ,3,5,5031
2,BOLSON,3,5,5032
3,VEINTISIETE DE ABRIL,3,5,5033
4,TEMPATE,3,5,5034
5,CARTAGENA,3,5,5035
6,CUAJINIQUIL,3,5,5036
7,DIRIA,3,5,5037
8,CABO VELAS,3,5,5038
9,TAMARINDO,3,5,5039
1,BAGACES,4,5,5041
2,LA FORTUNA,4,5,5042
3,MOGOTE,4,5,5043
4,RIO NARANJO,4,5,5044
1,FILADELFIA,5,5,5051
2,PALMIRA,5,5,5052
3,SARDINAL,5,5,5053
4,BELEN,5,5,5054
1,CAÑAS,6,5,5061
2,PALMIRA,6,5,5062
3,SAN MIGUEL,6,5,5063
4,BEBEDERO,6,5,5064
5,POROZAL,6,5,5065
1,LAS JUNTAS,7,5,5071
2,SIERRA,7,5,5072
3,SAN JUAN,7,5,5073
4,COLORADO,7,5,5074
1,TILARAN,8,5,5081
2,QUEBRADA GRANDE,8,5,5082
3,TRONADORA,8,5,5083
4,SANTA ROSA,8,5,5084
5,LIBANO,8,5,5085
6,TIERRAS MORENAS,8,5,5086
7,ARENAL,8,5,5087
1,CARMONA,9,5,5091
2,SANTA RITA,9,5,5092
3,ZAPOTAL,9,5,5093
4,SAN PABLO,9,5,5094
5,PORVENIR,9,5,5095
6,BEJUCO,9,5,5096
1,LA CRUZ,10,5,5101
2,SANTA CECILIA,10,5,5102
3,LA GARITA,10,5,5103
4,SANTA ELENA,10,5,5104
1,HOJANCHA,11,5,5111
2,MONTE ROMO,11,5,5112
3,PUERTO CARRILLO,11,5,5113
4,HUACAS,11,5,5114
5,MATAMBÚ,11,5,5115
1,PUNTARENAS,1,6,6011
2,PITAHAYA,1,6,6012
3,CHOMES,1,6,6013
4,LEPANTO,1,6,6014
5,PAQUERA,1,6,6015
6,MANZANILLO,1,6,6016
7,GUACIMAL,1,6,6017
8,BARRANCA,1,6,6018
9,MONTE VERDE,1,6,6019
10,ISLA DEL COCO,1,6,60110
11,COBANO,1,6,60111
12,CHACARITA,1,6,60112
13,CHIRA,1,6,60113
14,ACAPULCO,1,6,60114
15,EL ROBLE,1,6,60115
16,ARANCIBIA,1,6,60116
1,ESPIRITU SANTO,2,6,6021
2,SAN JUAN GRANDE,2,6,6022
3,MACACONA,2,6,6023
4,SAN RAFAEL,2,6,6024
5,SAN JERONIMO,2,6,6025
6,CALDERA,2,6,6026
1,BUENOS AIRES,3,6,6031
2,VOLCAN,3,6,6032
3,POTRERO GRANDE,3,6,6033
4,BORUCA,3,6,6034
5,PILAS,3,6,6035
6,COLINAS,3,6,6036
7,CHANGUENA,3,6,6037
8,BIOLLEY,3,6,6038
9,BRUNKA,3,6,6039
1,MIRAMAR,4,6,6041
2,LA UNION,4,6,6042
3,SAN ISIDRO,4,6,6043
1,PUERTO CORTES,5,6,6051
2,PALMAR,5,6,6052
3,SIERPE,5,6,6053
4,BAHIA BALLENA,5,6,6054
5,PIEDRAS BLANCAS,5,6,6055
6,BAHIA DRAKE,5,6,6056
1,QUEPOS,6,6,6061
2,SAVEGRE,6,6,6062
3,NARANJITO,6,6,6063
1,GOLFITO,7,6,6071
2,PUERTO JIMENEZ,7,6,6072
3,GUAYCARA,7,6,6073
4,PAVON,7,6,6074
1,SAN VITO,8,6,6081
2,SABALITO,8,6,6082
3,AGUABUENA,8,6,6083
4,LIMONCITO,8,6,6084
5,PITTIER,8,6,6085
6,GUTIERREZ BROWN,8,6,6086
1,PARRITA,9,6,6091
1,CORREDOR,10,6,6101
2,LA CUESTA,10,6,6102
3,CANOAS,10,6,6103
4,LAUREL,10,6,6104
1,JACO,11,6,6111
2,TARCOLES,11,6,6112
1,LIMON,1,7,7011
2,VALLE DE LA ESTRELLA,1,7,7012
3,RIO BLANCO,1,7,7013
4,MATAMA,1,7,7014
1,GUAPILES,2,7,7021
2,JIMENES,2,7,7022
3,RITA,2,7,7023
4,ROXANA,2,7,7024
5,CARIARI,2,7,7025
6,COLORADO,2,7,7026
7,COLONIA,2,7,7027
1,SIQUIRRES,3,7,7031
2,PACUARITO,3,7,7032
3,FLORIDA,3,7,7033
4,GERMANIA,3,7,7034
5,EL CAIRO,3,7,7035
6,LA ALEGRIA,3,7,7036
1,BRATSI,4,7,7041
2,SIXAOLA,4,7,7042
3,CAHUITA,4,7,7043
4,TELIRE,4,7,7044
1,MATINA,5,7,7051
2,BATAN,5,7,7052
3,CARRANDI,5,7,7053
1,GUACIMO,6,7,7061
2,MERCEDES,6,7,7062
3,POCORA,6,7,7063
4,RIO JIMENES,6,7,7064
5,DUACARI,6,7,7065
